Component,Quantity,Link (Aliexpress links need funding and amazon ones don't),Price without Deals,Price with Deals,Subtotal (without the 3.57 for shipping and 3.78 sales tax),Short Description
Raspberry Pi 5,1,https://www.amazon.com/Raspberry-Pi-8GB-SC1112-Quad-core/dp/B0CK2FCG1K,0 - Owned,0 - Owned,0 - Owned,SBC for processing
IMX519 Arducam,1,https://www.amazon.com/Arducam-IMX519-Autofocus-Raspberry-Compatible/dp/B0B3XBQM9Z,0 - Owned,0 - Owned,0 - Owned,camera for vision
Motors and one driver,1,https://www.amazon.com/ShangHJ-Gearbox-Motor-200RPM-Wheel/dp/B09F9HNP7M,0 - Owned,0 - Owned,0 - Owned,L298N Driver and 4 motors with 4 tires
Battery Cases,1,https://www.amazon.com/dp/B09C1XFD3B,0 - Owned,0 - Owned,0 - Owned,2 Cases - each case 2 18650 Batteries
Li-Po 18650 Batteries,1,https://www.amazon.com/dp/B0CSW7FN4S,0 - Owned,0 - Owned,0 - Owned,2 18650 Batteries
Breadboard,1,https://www.amazon.com/ELEGOO-Breadboard-Solderless-Breadboards-Electronics/dp/B0CXF1B6GB,0 - Owned,0 - Owned,0 - Owned,Makes wiring easier
HC-SRO4 Distance Sensor,1,https://www.amazon.com/Organizer-Ultrasonic-Distance-MEGA2560-ElecRight/dp/B07RGB4W8V,0 - Owned,0 - Owned,0 - Owned,For obstacle detection
Power Bank,1,https://www.amazon.com/gp/aw/d/B08T8TDS8S,0 - Owned,0 - Owned,0 - Owned,Power for Pi
MPU 6050 Accelerometer,1,https://www.amazon.com/AOICRIE-Accelerometer-Gyroscope-Pre-Soldered-Raspberry/dp/B0D2TJVMNY,0 - Owned,0 - Owned,0 - Owned,For movement information control
Multicolor LED,1,https://www.amazon.com/Tricolor-Multicolor-Lighting-Electronics-Components/dp/B01C19ENDM,0 - Owned,0 - Owned,0 - Owned,To display status
LCD 1602 Display,1,https://www.amazon.com/interface-Backlight-controller-Raspberry-Tinkerboard/dp/B0D2L9SK1P,0 - Owned,0 - Owned,0 - Owned,Also to display status (in text)
Photoresistor,1,https://www.amazon.com/DIYables-Photocell-Photoresistor-Arduino-Raspberry/dp/B0CM5YNGSF,0 - Owned,0 - Owned,0 - Owned,To detect how bright it is
Thermistor,1,https://www.amazon.com/PATIKIL-Thermistors-Resistors-Sensitivity-Temperature/dp/B0CH1CC1S6,0 - Owned,0 - Owned,0 - Owned,To detect the temperature
DHT11 Humidity Sensor,1,https://www.amazon.com/JESSINIE-DHT11-Digital-Temperature-Sensor/dp/B0BLG7R99R,0 - Owned,0 - Owned,0 - Owned,To detect humidity
Micro-Servos,1,https://www.amazon.com/Aceirmc-Helicopter-Airplane-Remote-Control/dp/B081ZY23V4,0 - Owned,0 - Owned,0 - Owned,For pan-tilting the camera

Speaker,1,https://www.aliexpress.us/item/3256807885682293.html,7.09,2.96,2.96,So the AI can talk
Microphone,1,https://www.aliexpress.us/item/2251832779242957.html,2.53,2.53,5.49,So the AI can hear
97mm Mechanum Wheels,1,https://www.aliexpress.us/item/3256808341904607.html,0 - Couldn't fit in budget,Couldn't fit in budget,5.49,For omni-directional movement
L298N Driver,1,https://www.aliexpress.us/item/3256807937306073.html,2.49,2.47,7.96,Second driver necessary for mechanum wheels
30cm Ribbon Cable,1,https://www.aliexpress.us/item/3256804021249325.html,1.58,1.45,9.41,So the camera can be accurately placed and connect
3mm Screws Nuts Standoffs,1,https://www.aliexpress.us/item/3256808218645159.html,21.17,13.55,22.96,For securing the motors and any other components
Li-Po 18650 Batteries,1,https://www.aliexpress.us/item/3256809542033198.html,19.73,8.88,31.84,Extra batteries necessary to power other components
VL53L1X TOF Sensor,1,https://www.aliexpress.us/item/3256806896226919.html,9.33,8.14,39.98,Time of flight sensor for accurate distance readings
MB102 Power supply,1,https://www.aliexpress.us/item/3256809164898321.html,3.12,1.40,41.38,For connecting power to all of the sensors
